courseNumber,courseTitle,crn,department,description,distDesg,meetingPattern,prerequisites
110,Elementary German I,10289,GMAN,"A beginning content- and task-based course that focuses on the acquisition of spoken and written communication skills, as well as on the development of cultural awareness and of foundations in grammar and vocabulary. Topics such as school, family life, and housing. Course materials include a variety of authentic readings, a feature film, and shorter video clips. Tutors are available for extra help.",['YCL1'],['M-F 9.25-10.15'],To be followed by GMAN 120. Enrollment limited to 14 per section. Students must preregister through Preference Selection during the online preregistration period. Details and a link to Preference Selection are provided on the German department Web site at http://german.yale.edu.
120,Elementary German II,10293,GMAN,"Continuation of GMAN 110. A content- and task-based course that focuses on the acquisition of communicative competence in speaking and writing and on the development of strong cultural awareness. Topics such as multiculturalism, food, childhood, and travel; units on Switzerland and Austria. Course materials include a variety of authentic readings, a feature film, and shorter video clips. Tutors are available for extra help.",['YCL2'],['M-F 10.30-11.20'],To be followed by GMAN 130. Enrollment limited to 14 per section. Students must preregister through Preference Selection during the online preregistration period. Details and a link to Preference Selection are provided on the German department Web site at http://german.yale.edu.
130,Intermediate German I,10294,GMAN,"Builds on and expands knowledge acquired in GMAN 120. A content- and task-based course that helps students improve their oral and written linguistic skills and their cultural awareness through a variety of materials related to German literature, culture, history, and politics. Course materials include authentic readings, a feature film, and shorter video clips. Tutors are available for extra help.",['YCL3'],['M-F 10.30-11.20'],After GMAN 120 or according to placement examination. Followed by GMAN 140. Enrollment limited to 14 per section. Students must preregister through Preference Selection during the online preregistration period. Details and a link to Preference Selection are provided on the German department Web site at http://german.yale.edu.
140,Intermediate German II,10296,GMAN,"Builds on and expands knowledge acquired in GMAN 130. A content- and task-based course that helps students improve their oral and written linguistic skills and their cultural awareness through a variety of materials related to German literature, culture, history, and politics. Course materials include authentic readings, a feature film, and shorter video clips. Tutors are available for extra help.",['YCL4'],['M-F 10.30-11.20'],"After GMAN 130 or according to placement examination. Normally followed by GMAN 150 or, with permission of the director of undergraduate studies, by GMAN 171. Enrollment limited to 14 per section. Students must preregister through Preference Selection during the online preregistration period. Details and a link to Preference Selection are provided on the German department Web site at http://german.yale.edu."
175,German Short Prose,10297,GMAN,"A study of brevity as a form of literature. Consideration of whether shortness reflects a highly condensed unity representing philosophical truth in its lowest terms, or whether it always remains just a sketch in need of completion. The geometric precision of aphorism contrasted with the implied incompleteness of fragment, parable, anecdote, fable, and joke. Authors include Lichtenberg, Lessing, Hebel, Schlegel, Kleist, Nietzsche, Kafka, Doderer, Benjamin, Adorno, and Bernhard.","['YCHU', 'YCL5']",[],"Group B courses are open to students who have successfully completed GMAN 138 or its equivalent. Conducted in German with readings in German, unless otherwise indicated."
275,East German Literature and Film,10512,GMAN,"The German Democratic Republic (1949-1989) was a political and aesthetic experiment that failed, buffeted by external pressures, and eroded by internal contradictions. For forty years, in fact, its most ambitious literary texts and films (some suppressed, others widely popular) explored such contradictions, often in a vigilant, Brechtian spirit of irony and dialectics. This course examines key texts both as aesthetic experiments and as critiques of the country’s emerging cultural institutions and state censorship, recurrent political debates and pressing social issues. Texts by Brecht, Uwe Johnson, Heiner Müller, Christa Wolf, Johannes Bobrowski, Franz Fühmann, Wolf Biermann, Thomas Brasch, Christoph Hein; films by Slatan Dudow, Kurt Maetzig, Konrad Wolf, Heiner Carow, Frank Beyer, Jürgen Böttcher, Volker Koepp.","['YCHU', 'YCWR']",[],Knowledge of German desirable but not crucial; all texts available in English.
381,Kant's <em>Critique of Pure Reason</em>,10645,GMAN,An examination of the metaphysical and epistemological doctrines of Kant's Critique of Pure Reason.,['YCHU'],['MW 11.35-12.50'],Prerequisite: PHIL 126 or DRST 004.
233,Karl Marx's Capital,10989,GMAN,"A careful reading of Karl Marx's classic critique of capitalism,Capitalvolume 1, a work of philosophy, political economy, and critical social theory that has had a significant global readership for over 150 years. Selected readings also fromCapitalvolumes 2 and 3.","['YANS', 'YCHU']",['MW 11.35-12.25'],Value Not Provided
492,The Senior Essay Tutorial,11007,GMAN,Preparation of an original essay under the direction of a faculty adviser.,[],['1 HTBA'],Value Not Provided
205,The Question of Technology in Continental Theory,11071,GMAN,"In Greek mythology, Niobe is the queen of Thebes and mother of six daughters and six sons. She rebelled against the gods and was severely punished for it: her children were killed and she herself was petrified in eternal mourning. In Walter Benjamin's much-discussed essay ""On the Critique of Violence"", Niobe's fate is a memorial to a mythical violence that has never been overcome. According to Benjamin, this violence today is linked to an instrumental approach to technology. In the seminar, we discuss media and technology philosophical approaches by Benjamin, Heidegger, Simondon, Haraway, Chude-Sokei, among others, but also texts by Kant, in order to explore the question of how we should understand the entanglement of melancholy, violence and an instrumental understanding of technology. Furthermore, we discuss how this link between violence, technology and melancholy can be resolved from the perspective of Benjamin's critique of violence.",['YCHU'],['W 1.30-3.20'],Value Not Provided
301,"After the War, Novels after 1945, French and German",11463,GMAN,"How to write, how to narrate after war? In this course we read alternatingly some of the greatest novels and novellas after 1945 (until ca. 1968) from German speaking countries and from France. This can but does not necessarily mean novels about fascism and democracy, aggression and resistance (Sartre, Grass). It also means negotiating radical break and reorientation, politically and ideologically (German “Zero Hour”, the absurd, existentialism in France); and the attempt to reinvent literary writing in general (‘nouveau roman’ in France, Handke and Bernard in Austria). Further authors include Camus, Duras, Robbe-Grillet, Le Clezio, Koeppen, Wolf, Handke, Bachmann.",['YCHU'],"['Th 3.30-5.20', '1 HTBA']",Value Not Provided
331,Paper: Material and Medium,11466,GMAN,"Paper is one of the most ubiquitous and indispensable media of the modern era. Although we are (still) surrounded by it, paper tends to recede into the background, working best when we do not notice it at all. This course sets out to challenge our understanding of paper as a neutral or passive bearer of inscriptions by foregrounding its material quality. Our focus rests in equal parts on the media history of paper and paper works of art–among them many literary texts–that reflect or take advantage of their medium. Studying materials and histories from the early modern period to the present, we uncover paper’s status as a commodity bound up in a complex web of economic processes, as an instrument of political power, as a gendered and racialized object, and as a material that can be cut, shuffled, and even eaten. Ultimately, we investigate how paper is still central to our lives, even in the age of tablets and PDFs. Readings include Emily Dickinson’s envelope poems, Robert Walser’s “Microscripts,” and M....","['YCHU', 'YCWR']","['1 HTBA', 'Th 1.30-3.20']",Value Not Provided
151,Exploring Contemporary German Culture,11677,GMAN,"Advanced German course focusing on vocabulary expansion through reading practice; stylistic development in writing; and development of conversational German. Critical analysis of selected aspects of contemporary German culture, such as Green Germany, social movements from the 60s to today, the changing ""Sozialstaat,” and current events.",['YCL5'],[],Prerequisite: GMAN 140 or equivalent.
162,German History & Culture in the 19th Century and the Weimar Republic,12261,GMAN,"An advanced language course focusing on improving upper-level written and oral language skills through the discussion of selected aspects of pre-1945 German culture, politics, and history in literary and nonliterary texts, films, and the arts. Topics include the Kaiserreich, the Weimar Republic, Expressionist art and film, youth movements, social democracy, and Nazi Germany. Emphasis on vocabulary building through frequent oral and written assignments.","['YCHU', 'YCL5']",['MW 11.35-12.50'],"After GMAN 140, 145, or 150, or with permission of instructor."
344,"Landscape, Film, Architecture",12411,GMAN,"Movement through post-1945 landscapes and cityscapes as a key to understanding them. The use of cameras and other visual-verbal means as a way to expand historical, aesthetic, and sociological inquiries into how these places are inhabited and experienced. Exploration of both real and imaginary spaces in works by filmmakers (Wenders, Herzog, Ottinger, Geyrhalter, Seidl, Ade, Grisebach), architects and sculptors (e.g. Rudofsky, Neutra, Abraham, Hollein, Pichler, Smithson, Wurm, Kienast), photographers (Sander, B. and H. Becher, Gursky, Höfer), and writers (Bachmann, Handke, Bernhard, Jelinek). Additional readings by Certeau, Freytag, J.B. Jackson, L. Burckhardt.",['YCHU'],"['Th 9.25-11.15', 'W 6.00-8.00p', '1 HTBA']",Value Not Provided
379,German Cinema 1918–1933,12781,GMAN,"The years between 1918 and 1933 are the Golden Age of German film. In its development from Expressionism to Social Realism, this German cinema produced works of great variety, many of them in the international avantgarde. This introductory seminar gives an overview of the silent movies and sound films made during the Weimar Republic and situate them in their artistic, cultural, social, and political context between WWI and WWII, between the Kaiser’s German Empire and the Nazis’ Third Reich. Further objectives include: familiarizing students with basic categories of film studies and film analysis; showing how these films have shaped the history and the language of film; discussing topic-oriented and methodological issues such as: film genres (horror film, film noir, science fiction, street film, documentary film); set design, camera work, acting styles; narration in film; avantgarde cinema; the advent and use of sound in film; Realism versus Expressionism; film and popular mythology; melodrama;...","['YCHU', 'YCWR']",['W 3.30-5.20'],Value Not Provided
288,The Mortality of the Soul: From Aristotle to Heidegger,13629,GMAN,"This course explores fundamental philosophical questions oftherelation between matter and form, life and spirit, necessity and freedom, by proceeding from Aristotle's analysis ofthesoulinDe Animaand his notion of practical agency intheNicomachean Ethics.We study Aristotle in conjunction with seminal works by contemporary neo-Aristotelian philosophers (Korsgaard, Nussbaum, Brague, and McDowell). We in turn pursuetheimplications of Aristotle's notion of life by engaging with contemporary philosophical discussions of death that take their point of departure in Epicurus (Nagel, Williams, Scheffler). We conclude by analyzing Heidegger's notion ofconstitutive mortality, in order to make explicit what is implicit in the form ofthesoul in Aristotle.",['YCHU'],['T 3.30-5.20'],Value Not Provided
226,The Faust Tradition,13695,GMAN,"The development of the Faust motif through time, from the period of the Renaissance and the Reformation to the twentieth century. Readings from the English adaptation of the original German chapbook and from works by Marlowe, Ben Johnson, Goethe, Wilde, Bulgakov, and Thomas Mann. Screenings of films with a Faustian theme.",['YCHU'],"['1 HTBA', 'TTh 2.30-3.45']",Value Not Provided
171,Introduction to German Prose Narrative,13978,GMAN,"Study of key authors and works of the German narrative tradition, with a focus on the development of advanced reading comprehension, writing, and speaking skills. Readings from short stories, novellas, and at least one novel. Writings by exemplary storytellers of the German tradition, such as Goethe, Kleist, Hebel, Hoffmann, Stifter, Keller, Kafka, Mann, Musil, Bachmann, and Bernhard.","['YCHU', 'YCL5']",['TTh 11.35-12.50'],Value Not Provided
158,Contemporary German Culture through Sports,14067,GMAN,"This course is about sports in German-speaking countries. It consists of several units, each of them addressing a different type of sport such as soccer, handball, basketball, tennis, ""winter sports"" (alpine skiing, ski jumping, and cross-country skiing), track and field or swimming. Topics include different sports histories, famous athletes, homophobia and racism in sports, inclusivity and gender equality, and differences in recreational sports culture in the German-speaking countries and the United States.","['YCHU', 'YCL5']",['TTh 1.00-2.15'],Prerequisite: GMAN 140 or equivalent.
426,Cinema of Crisis,14842,FILM,"This course looks at European films dealing with various crises since 1945. The legacy of National Socialism, the rise of domestic and international terrorism (both before and after 9/11), the vast migrations of peoples, an increase in precarity, racism, and populism, the critique of capitalism, and the degradation of the environment—we examine these issues in films made after the end of World War II. Some of the questions that guide our inquiry are: When does violence seem like a legitimate answer to political, economic, and social pressures and the legacies of fascism and colonialism? Where and how do environmental issues come to the fore in an increasingly global Europe? How does cinema depict today’s multicultural societies in conflict? And how do gender issues inflect the precarious economic conditions shown in the films? Does the rise of digital technology inflect the way in which films portray history and memory? In directors’ varied aesthetic responses to death, displacement, and destruction, we...",['YCHU'],"['F 9.25-11.15', 'W 7.00-9.00p']",Value Not Provided
090,Thinking about History,10355,HUMS,"An introduction to the discipline of history. Exploration of influential historical narratives; the philosophy of history; the emergence of historical subdisciplines including history from below, microhistory, the new cultural history, and Big History; and interdisciplinary engagement with anthropology, literary criticism, art history, and psychology.","['YCHU', 'YCWR']",['TTh 11.35-12.50'],Enrollment limited to first-year students.
323,Truth and Sedition,10367,HUMS,"The truth can set you free, but of course it can also get you into trouble. How do the constraints on the pursuit and expression of “truth” change with the nature of the censoring regime, from the family to the church to the modern nation-state? What causes regimes to protect perceived vulnerabilities in the systems of knowledge they privilege? What happens when conflict between regimes implicates modes of knowing? Are there types of truth that any regime would—or should—find dangerous? What are the possible motives and pathways for self-censorship?We begin with the revolt of the Hebrews against polytheistic Egypt and the Socratic questioning of democracy, and end with various contemporary cases of censorship within and between regimes. We consider these events and texts, and their reverberations and reversals in history, in relation to select analyses of the relations between truth and power, including Hobbes, Locke, Kant, Brecht, Leo Strauss, Foucault, Chomsky, Waldron, Zizek, and Xu Zhongrun.","['PREI', 'YCHU', 'YCWR']",['W 3.30-5.20'],Value Not Provided
180,Dante in Translation,10459,HUMS,"A critical reading of Dante's Divine Comedy and selections from the minor works, with an attempt to place Dante's work in the intellectual and social context of the late Middle Ages by relating literature to philosophical, theological, and political concerns.",['YCHU'],['TTh 1.00-2.15'],No knowledge of Italian required. Course conducted in English.
129,Jesus to Muhammad: Ancient Christianity to the Rise of Islam,11136,HUMS,"The history of Christianity and the development of Western culture from Jesus to the early Middle Ages. The creation of orthodoxy and heresy; Christian religious practice; philosophy and theology; politics and society; gender; Christian literature in its various forms, up to and including the early Islamic period.",['YCHU'],['MW 9.25-10.15'],Value Not Provided
228,Climate Change and the Humanities,11211,HUMS,"What can the Humanities tell us about climate change? The Humanities help us to better understand the relationship between everyday individual experience, and our rapidly changing natural world. To that end, students read literary, political, historical, and religious texts to better understand how individuals both depend on, and struggle against, the natural environment in order to survive.",['YCHU'],['MW 11.35-12.50'],Value Not Provided
096,"Collecting History: ""Treasures"" of Yale",11663,HUMS,"This course considers the concept of “treasure” by visiting nearly all of Yale’s galleries, museums, and library special collections. We explore questions around how these objects and materials were created, how they came to be at Yale, and the considerations and compromises that make up collections of cultural heritage materials. We learn what these objects say about themselves, their creators, their users, and their collectors.",['YCHU'],['W 1.00-4.00'],Enrollment limited to first-year students.
034,Six Pretty Good Thought Experiments,11664,HUMS,"Scientists, philosophers, visionaries, and creative writers around the world—in all eras, traditions, and cultures—have often turned to a fascinating form of exploratory inquiry that we today call thought experiments. These short, creative, often wildly outlandish scenarios allow people to ponder some of our most urgent and life-changing questions: How is the universe structured? Are there absolute standards of right conduct? Can we be sure that the world around us is actually real—and does that even matter?This course takes students on an expansive tour of the thought experiment genre, ranging across scientific and philosophical texts, films, and speculative fiction. As we explore what thought experiments are and how they work through contextualized close reading, we also consider broader questions: What does the thought experiment’s form tell us about how we come to know things? Is the thought experiment a clearly defined genre, and does it have a global history? How do thought experiments harness the...","['YCHU', 'YCWR']","['F 1.00-4.00', 'MW 9.00-10.15']",Enrollment limited to first-year students.
263,Thucydides,11672,HUMS,"In this seminar, we undertake a careful examination of Thucydides' so-called History of the Peloponnesian War in its entirety. Central problems include the psychological and structural causes of war, the relation of justice to necessity, the susceptibility of democracy to imperialism and demagoguery, and the experience of war itself. We also engage with the secondary literature on Thucydides.","['YCHU', 'YCWR']","['M 3.30-5.20', '1 HTBA HQ 401']",Value Not Provided
300,Environmental Digital Humanities,11774,HUMS,"The course seeks to help students develop an integrated understanding of environmental and ecological issues from the point of view of the digital humanities, where the humanities are broadly understood (incorporating literature, the arts, philosophy, and cultural studies) in conjunction with digital technologies. Thus, the course exposes students to an understanding of how two increasingly important issues in the modern world — digital technology andenvironmentalconcerns — intersect.",['YCHU'],['TTh 9.00-10.15'],Value Not Provided
302,Demagoguery and Democracy,11901,HUMS,This course offers historical and theoretical perspective on contemporary debates about democratic leadership and political discourse. How can demagoguery be distinguished from healthy forms of popular leadership? Under what conditions do demagogues tend to emerge? What institutional arrangements and political strategies help to manage demagogues? The course traces these themes through a set of conversations that begin in ancient Greek and Roman texts on the art of persuasion and continue through the Renaissance and early modern period and into revolutionary and post-revolutionary thinking about leaders' claims to speak for the people. Contemporary issues including populism and the impact of social media are addressed.,"['YCHU', 'YCSO']",['W 1.30-3.20'],Value Not Provided
326,Cultural Studies beyond Earth,11981,HUMS,"This course is a thought experiment conducted with theory and data drawn from astro- or exobiology, evolutionary science, ethology, and cultural and semiotic theory. Scientists interested in life on other planets understand the need to start their inquiries from the only example of life we know, on earth. They work to extrapolate, from earthly biology, the principles of a universal biology: conditions that must hold anywhere life has arisen. Can we form a universal cultural study, extending their extrapolation toward conditions that enable culture wherever it might arise? We begin with an overview of universal biology, then examine cultures of humans and other animals on earth, and finally approach theoretically the foundations on which they arise, including semiotic theory and questions concerning communication and technics.",['YCHU'],['T 1.30-3.20'],Value Not Provided
005,The Ancient Egyptian Empire of the New Kingdom,12323,HUMS,"For most of the duration of the New Kingdom (1550-1069 BCE), the ancient Egyptians were able to establish a vast empire and became one of the key powers within the Near East. This course is an introduction to the history, archaeology and literary sources of one of the most dynamic periods of ancient Egyptian history. We investigate the development of Egyptian foreign policies and military expansion, which affected parts of the Near East and Nubia to the south. We also examine and discuss topics such as ideology, imperial identity, political struggle and motivation for conquest and control of wider regions surrounding the Egyptian state as well as the relationship to other powers and their perspective on Egyptian rulers, as, for example, described in the famous Amarna letters, the world’s earliest diplomatic correspondence. Throughout the semester, we consider the different sources that have survived in the archaeological and textual record for understanding Egypt’s first empire within its ancient...",['YCHU'],[],Enrollment limited to first-year students.
452,Ecologies of Culture: Latin American Environmental Aesthetics,12398,HUMS,"In the age of rising sea levels, mass extinction, and carbon-driven climate change, can culture and the arts remain unchanged? This course focuses on the intersections between aesthetics and ecological practices in the context of the Anthropocene, a proposed geological epoch wherein humans have become a major geological force shaping the planet. It challenges traditional approaches by examining how culture and the arts can help to understand and respond to environmental crises. Discussions and readings emphasize the role of culture and aesthetics as agents and producers of environmental knowledge, highlighting their potential to challenge socio-ecological relations. Throughout the semester, students explore various themes, including colonialism, anthropocentrism, human-animal relations, fossil capitalism, indigenous ontologies, and the impact of extractive industries on territories and bodies in Latin America, the Caribbean, and the Latinx world. Students engage with works by established and emerging...","['YCHU', 'YCL5']","['TTh 11.35-12.50', '1 HTBA HQ 123']",Value Not Provided
167,Masterpieces of Arabic Literature,12596,HUMS,"The Arabic literary tradition spans from the 6th-century through to the modern day. In this course, we focus on the first thousand years (600–1600), and read works, and excerpts from works, regarded as masterpieces of Arabic literature. Our readings include the early poetry of the Arabian peninsula (Imru l-Qays, 'Antarah), the Qur’an, celebrated prose writers, including al-Jahiz, al-Tanukhi, al-Hariri, and al-Tawhidi, and famous poets, including al-Mutanabbi, al-Ma'arri, and Ibn Zaydun. All readings in translation.",['YCHU'],['MW 11.35-12.50'],Value Not Provided
186,War Games,12605,HUMS,"Dismissed, mocked, feared or loved for decades, video games have become a staple of contemporary media, art, and popular culture, studied alongside traditional print media and film. They eclipse the global yearly revenue of both film and music industries combined, leaving their financial significance undeniable. What remains understudied, however, is the political and cultural significance of the medium. War Games is a seminar dedicated to the intersection of video games and political violence (both real and imaginary) in a global and particularly post-Cold War context.Students learn to recognize patterns of ideological communication in video games while developing close reading skills of literature and digital media alike. We combine the study of video games with broader inquires into the media that circulate through the game mediaverse, including literature, social and news media, and film. Playing games and reading books, we pose the following questions: How do players “perform” war in games, and how...",['YCHU'],"['W 7.00-8.00p', 'TTh 11.35-12.50']",Value Not Provided
467,Interpretations Seminar: Hart Crane,12637,HUMS,"Before his tragic death at the age of 32, and with a comparatively small total output, Hart Crane produced some of the most astonishing and influential poems of the 20thcentury. This seminar will focus on close-reading Hart Crane’s complete poetic oeuvre, with sustained attention to his volume of poemsWhite Buildingsand his short epicThe Bridge. We will locate Crane as a queer American poet in his historical and cultural context in the early 20thcentury, writing alongside and against his Modernist contemporaries. We will also investigate Crane’s relationship to Romanticism by reading his poetry as a continuation and revision of Romantic precursors in both the English and American poetic traditions. Special attention will be paid to Crane’s unique poetics of catachresis, as evidenced through his poetry but also as articulated in his letters. Finally, we will consider the religious elements of Crane’s poetry and poetics by putting him conversation with hermeticism, Gnosticism, Biblical prophecy, and...","['YCHU', 'YENJ']","['W 1.30-3.20', '1 HTBA']",Value Not Provided
021,Six Pretty Good Heroes,12814,HUMS,"Focusing on the figure of the hero through different eras, cultures, and media, this course provides first-year students with a reading-and writing-intensive introduction to studying the humanities at Yale. The course is anchored around six transcultural models of the hero that similarly transcend boundaries of time and place: the warrior, the sage, the political leader, the proponent of justice, the poet/singer, and the unsung. Our sources range widely across genres, media, periods, and geographies: from the ancient Near Eastern, Epic of Gilgamesh (1500 BCE) to the Southeast Asian Ramayana, to the Icelandic-Ukrainian climate activism film, Woman at War (2018). As part of the Six Pretty Good suite, we explore Yale's special collections and art galleries to broaden our perspectives on hierarchies of value and to sharpen our skills of observation and working with evidence. Six Pretty Good Heroes is a 1.5 credit course, devoting sustained attention students’ academic writing and is an excellent foundation...","['YCHU', 'YCWR']",['TTh 9.00-10.15'],Enrollment litmited to first-year students.
128,From Gilgamesh to Persepolis: Introduction to Near Eastern Literatures,12816,HUMS,"This course is an introduction to Near Eastern civilization through its rich and diverse literary cultures. We read and discuss ancient works, such as theEpic of Gilgamesh,Genesis, and “The Song of Songs,” medieval works, such asA Thousand and One Nights, selections from theQur’an, andShah-nama: The Book of Kings, and modern works of Israeli, Turkish, and Iranian novelists and Palestianian poets. Students complement classroom studies with visits to the Yale Babylonian Collection and the Beinecke Rare Book and Manuscript Library, as well as with film screenings and guest speakers. Students also learn fundamentals of Near Eastern writing systems, and consider questions of tradition, transmission, and translation. All readings are in translation.","['YCHU', 'YCWR']",['TTh 1.00-2.15'],Permission from the instructor required.
065,Education and the Life Worth Living,12904,HUMS,"Consideration of education and what it has to do with real life—not just any life, but a life worth living. Engagement with three visions of different traditions of imagining the good life and of imagining education: Confucianism, Christianity, and Modernism. Students will be asked to challenge the fundamental question of the good life and to put that question at the heart of their college education.",['YCHU'],['MW 9.00-10.15'],Enrollment limited to first-year students.
280,What Matters Most,12906,HUMS,"""What is a good life?"" is a daunting question. While each of us needs to answer it, it is almost impossible to do so all at once. This course divides the question of the good life into smaller, but still very significant questions, like: Who do we answer to for the shape of our lives? What should we hope for? What is the role of suffering in a good life? Readings and discussion-heavy lectures engage a number of ancient and contemporary voices from a variety of religious, philosophical, ideological, and cultural perspectives. Through a series of small writing assignments, students respond to each of life's big questions for themselves and synthesize these responses into their own account of what matters and why.","['YCHU', 'YCWR']","['MW 2.30-3.45', '1 HTBA HQ 132']",Value Not Provided
471,Special Studies in the Humanities,13005,HUMS,"For students who wish to pursue a topic in Humanities not otherwise covered. May be used for research or for directed reading under the guidance of one or more faculty advisers. In either case a term paper or its equivalent is required, as are regular meetings with the adviser or advisers. To apply, a student should present a prospectus and a bibliography signed by the adviser or advisers to the director of undergraduate studies.",[],['1 HTBA'],Enrollment limited to juniors and seniors majoring in Humanities.
491,The Senior Essay,13006,HUMS,"Independent library-based research under faculty supervision. To register, students must consult the director of undergraduate studies no later than the end of registration period in the previous term. A written plan of study approved by a faculty adviser must be submitted to the director of undergraduate studies.",[],['1 HTBA'],Value Not Provided
422,Early Film Theory and Modernity,13373,HUMS,"For a long time, early film theory and criticism have been overlooked and underestimated. However, their recent rediscovery has highlighted their crucial role in framing film as a ""modern"" invention. While discussing what then was a recent invention, early film theory and criticism tackled some of the main characteristic of modern life: speed, excitation, contingency, openness, subjectivity, circulation, etc. By doing so, they underscored the parallel between modern experience and filmic representations. On the screen –they claimed– spectators do not only see the world in which they live, but also the effects of the political, industrial, and social revolutions on this world. At the same time, early film theory and criticism developed an ideal of “modern” art and “modern” language, through a systematic exploration of filmic style and iconography. According to them, film was the epitome of a “new art” for “new times.” The course explores the idea of modernity as it developed in the Western world between...",['YCHU'],"['MW 9.00-10.15', '1 HTBA']",Value Not Provided
130,Fundamentals of Comparison,13583,HUMS,"An introduction tothe conceptual modes and frameworks for comparative study in the humanities as well as the interdisciplinary and cross-cultural traditionsof comparative literature. We investigate how and why cultures come into contact and why we might want to engage in acts of comparison. Topics covered are historical and theoretical in scope involving questions about: historical connections; influence and reception; morphology (similarities, resemblances); circulation and networks; colonialism and its consequences; identity and diaspora; aesthetics; humanisms. Anchored in case studies thathelp to understand the core challenges of our discipline, we explore the relation of literary study to anthropology, linguistics, religious studies, history, and cognitive science. Texts include: Leo Africanus’sDescription of Africawith Natalie Zemon Davis’sTrickster Travels; Goethe'sWest-östlicher Divan, its source texts and imitations; Shakespeare’s Hamlet alongside Bharadwaj’s Haider and Bohannan's “Shakespeare in...",['YCHU'],['MW 1.00-2.15'],Value Not Provided
363,AI as Global Cultural Artifact,14165,HUMS,"The course seeks to help develop an understanding of how Artificial Intelligence has been imagined, in global culture, by writers and artists hailing from, or affiliating with, various parts of the globe; and also how, to some extent, human cultural imagination and demands have influenced developments in AI. We address these questions in a global sense as much as we can: while the culture of Western modernity will figure very prominently in the readings and discussion, we take a more enlarged perspective, with some of the readings being about, and/or from, places and imaginaries beyond the West: China, Afrofuturism, and South Asia. Readings consist mostly of imaginative literary works (short stories, and excerpts from longer novels), but also encompasses some non-fiction and graphic fiction. At least two weeks of class also focuses on non-textual culture (theater, film, paintings, and music that is connected to AI). The readings combine with assignments involving both traditional essays (midterm essay...",['YCHU'],['MW 4.00-5.15'],Value Not Provided
303,What is the University?,14223,HUMS,"The University is one of the most influential—and underexamined—kinds of corporations in the modern world.It is responsible both for mass higher education and for elite training. It aims to produce and disseminate knowledge, and to prepare graduates for work in all different kinds of fields. It functions both as a symbol and repository of learning, if not ideally wisdom, and functions as one of the most important sites of networking, patronage, and socialization today. It is, in short, one of the most alluring and abused institutions in our culture today, often idolized as a savior or a scapegoat. And while the first universities were not founded in the service of research, today’s most prestigious schools claim to be centrally dedicated to it. But what is research? Where does our notion of research and the supposed ability to routinely produce it come from? This seminar is a high-level historical and structural examination of the rise of the research university. We cover both the origins and the modern...","['YCHU', 'YCSO']",['Th 1.30-3.20'],Value Not Provided
056,Women Who Ruled,14327,HIST,"This course examines queens who ruled over hereditary monarchies in their own right. Each week spotlights a different queen or set of related queens. With the use of secondary works and primary sources, students gain some familiarity with the queens themselves, their struggles to use and retain power, and the cultures in which those queens were embedded. Over the duration of the course, students form a basic idea of what queenship has entailed across cultures, while simultaneously discovering how queenship varied in different cultures and material circumstances. The course thereby not only investigates queenship, but also serves as an introduction to the temporal, spatial, and conceptual breadth of world history. And, through watching recent film and television depictions of these queens, students come to grips with the problem of historical memory and the uses (or abuses) to which history can be put.","['PREI', 'YCHU', 'YCWR']",[],Enrollment limited to first-year students.
018,Six Pretty Good Kids,14346,HUMS,"This course considers literary representations of childhood, the family, and education from antiquity to the present by reading across several traditions and genres, such as epic, tragedy, and the novel, especially the “novel of education,” or Bildungsroman. By examining fictional and non-fictional texts, including readings in psychoanalysis, pedagogical theory, contemporary parenting advice, and political and sociological analysis, we seek to understand seemingly natural or eternal aspects of human life (“childhood,” “the family”) as historically and socially constructed and, thus, as sites for political struggle and creative transformation. We conclude by discussing children’s literature and film, and the conflicting visions of childhood and “the future” these forms offer to adults and children.","['YCHU', 'YCWR']","['MW 11.35-12.50', 'F 1.00-4.00']",Enrollment limited to first-year students.
020,Six Pretty Good Dogs,14636,HUMS,"We all have heard the phrase “Dogs are man’s best friends.” For thousands and thousands of years there has been an indissoluble friendship between man and dog, an unwritten covenant, a symbiotic relationship that has no equal in the animal world. Why do we consider them our ‘best friends’? And is this always true? If not, why do we sometimes fear dogs? What role have dogs played in our understanding of being human? This course explores images of dogs in 20th-21st Italian literature through six main categories: a man and his dog; dogs and inhumanity; dogs and exile; dogs and children; dogs and folktales; dogs and modern bestiary. We discuss and close read a variety of texts, which are representative of different strategies for reflecting on the self and on the ‘other’ by unpacking the unstable relationship between anthropomorphism, personification, and humanization. Hopefully, these texts impel us to understand how profoundly the animal is involved in the human and the human in the animal.This course is...","['YCHU', 'YCWR']",['MW 4.00-5.15'],"Enrollment limited to first-year students.
All readings in English."
387,Introduction to Digital Humanities I: Architectures of Knowledge,15683,HUMS,"The cultural record of humanity is undergoing a massive and epochal transformation into shared analog and digital realities. While we are vaguely familiar with the history and realities of the analog record—libraries, archives, historical artifacts—the digital cultural record remains largely unexamined and relatively mysterious to humanities scholars. In this course you will be introduced to the broad field of Digital Humanities, theory and practice, through a stepwise exploration of the new architectures and genres of scholarly and humanistic production and reproduction in the 21st century. The course combines a seminar, preceded by a brief lecture, and a digital studio. Every week we will move through our discussions in tandem with hands-on exercises that will serve to illuminate our readings and help you gain a measure of computational proficiency useful in humanities scholarship. You will learn about the basics of plain text, file and operating systems, data structures and internet infrastructure....",['YCHU'],['MW 9.00-10.15'],Value Not Provided
